Gender,Marital_status,Dependents,Education,Self_employed,ApplicantIncome,CoapplicantIncome,Loan_amount,Loan_amount_term,Credit_history,Property_area,Loan_status
Male,No,0,Graduate,No,5849,0,230,360,1,Urban,Y
Male,Yes,1,Graduate,No,4583,1508,128,360,1,Rural,N
Male,Yes,0,Graduate,Yes,3000,0,66,360,1,Urban,Y
Male,Yes,0,Not Graduate,No,2583,2358,120,360,1,Urban,Y
Male,No,0,Graduate,No,6000,0,141,360,1,Urban,Y
Male,Yes,2,Graduate,Yes,5417,4196,267,360,1,Urban,Y
Male,Yes,0,Not Graduate,No,2333,1516,95,360,1,Urban,Y
Male,Yes,3+,Graduate,No,3036,2504,158,360,0,Semiurban,N
Male,Yes,2,Graduate,No,4006,1526,168,360,1,Urban,Y
Male,Yes,1,Graduate,No,12841,10968,349,360,1,Semiurban,N
Male,Yes,2,Graduate,No,3200,700,70,360,1,Urban,Y
Male,Yes,2,Graduate,No,2500,1840,109,360,1,Urban,Y
Male,Yes,2,Graduate,No,3073,8106,200,360,1,Urban,Y
Male,No,0,Graduate,No,1853,2840,114,360,1,Rural,N
Male,Yes,2,Graduate,No,1299,1086,17,120,1,Urban,Y
Male,No,0,Graduate,No,4950,0,125,360,1,Urban,Y
Male,No,1,Not Graduate,No,3596,0,100,240,1,Urban,Y
Female,No,0,Graduate,No,3510,0,76,360,0,Urban,N
Male,Yes,0,Not Graduate,No,4887,0,133,360,1,Rural,N
Male,Yes,0,Graduate,No,2600,3500,115,240,1,Urban,Y
Male,Yes,0,Not Graduate,No,7660,0,104,360,0,Urban,N
Male,Yes,1,Graduate,No,5955,5625,315,360,1,Urban,Y
Male,Yes,0,Not Graduate,No,2600,1911,116,360,0,Semiurban,N
Male,Yes,2,Not Graduate,No,3365,1917,112,360,0,Rural,N
Male,Yes,1,Graduate,No,3717,2925,151,360,0,Semiurban,N
Male,Yes,0,Graduate,Yes,9560,0,191,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,2799,2253,122,360,1,Semiurban,Y
Male,Yes,2,Not Graduate,No,4226,1040,110,360,1,Urban,Y
Male,No,0,Not Graduate,No,1442,0,35,360,1,Urban,N
Female,No,2,Graduate,No,3750,2083,120,360,1,Semiurban,Y
Male,Yes,1,Graduate,Yes,4166,3369,201,360,0,Urban,N
Male,No,0,Graduate,No,3167,0,74,360,1,Urban,N
Male,No,1,Graduate,Yes,4692,0,106,360,1,Rural,N
Male,Yes,0,Graduate,No,3500,1667,114,360,1,Semiurban,Y
Male,No,3+,Graduate,No,12500,3000,320,360,1,Rural,N
Male,Yes,0,Graduate,No,5346,0,245,360,1,Urban,Y
Male,Yes,0,Graduate,No,1828,1330,100,360,0,Urban,N
Female,Yes,0,Graduate,No,3667,1459,144,360,1,Semiurban,Y
Male,No,0,Graduate,No,4166,7210,184,360,1,Urban,Y
Male,No,0,Not Graduate,No,3748,1668,110,360,1,Semiurban,Y
Male,No,0,Graduate,No,3600,0,80,360,1,Urban,N
Male,No,0,Graduate,No,1800,1213,47,360,1,Urban,Y
Male,Yes,0,Graduate,No,2400,0,75,360,1,Urban,Y
Male,Yes,0,Graduate,No,3941,2336,134,360,1,Semiurban,Y
Male,Yes,0,Not Graduate,Yes,4695,0,96,240,1,Urban,Y
Female,No,0,Graduate,No,3410,0,88,240,1,Urban,Y
Male,Yes,1,Graduate,No,5649,0,44,360,1,Urban,Y
Male,Yes,0,Graduate,No,5821,0,144,360,1,Urban,Y
Female,Yes,0,Graduate,No,2645,3440,120,360,0,Urban,N
Female,No,0,Graduate,No,4000,2275,144,360,1,Semiurban,Y
